"When starting the transmutation engine, all instruction sequences are automatically padded so they have the same period as the longest instruction sequence in the solution, which ensures that all arms are kept in sync.\n\nBy placing a period override instruction at the end of an instruction sequence, the period of the solution can be artificially increased. This is rarely necessary, but can be useful if a solution is repeating too quickly, causing collisions or other conflicts.",,"Beim Start der Transmutationsmaschine werden alle Abfolgen an Anweisungen automatisch der Dauer der längsten Abfolge angeglichen, dadurch bleiben alle Armbewegungen synchron zueinander.\n\nWird die Freilaufperiode-Anweisung am Ende einer Abfolge von Anweisungen hinzugefügt kann die Dauer der Lösung absichtlich verlängert werden. Dies ist selten notwendig, jedoch hilfreich sollte eine Lösung sich zu schnell wiederholen und es dadurch zu Kollisionen oder anderen Problemen kommen.","Lorsque le moteur de transmutation est activé, les séquences d'instructions sont artificiellement allongées jusqu'à la durée de la plus longue séquence de la solution afin d'assurer la synchronicité des bras.\n\nEn ajoutant une instruction de contournement à la fin d'une séquence, la durée de la solution peut être augmentée artificiellement. Cette option est rarement nécessaire, mais peut servir si la répétition trop rapide d'une solution cause des collisions ou autres problèmes.","При запуске механизма трансмутации все последовательности команд автоматически подстраиваются под самую длинную последовательность команд в решении, что гарантирует, что все манипуляторы синхронизированы.\n\nУстановка команды переопределения времени в конце последовательности может искусственно увеличить время решения. Если решение повторяется слишком быстро, вызывая столкновения или др. конфликты, эта команда придется кстати.",当嬗变引擎开始启动，所有的指令队列会被自动填充从而使解决方案中所有队列的执行时间与最长指令队列的时间一致。\n\n当在一个指令队列后放置间断超驰控制指令后，解决方案的时间能被人为地增加。这是并不是必需品，但在解决方案重复太快、发生碰撞及其他冲突的情况下非常有用。,変成機関の●起動時、ソリューションの●最も長い手順の●期間と●同様になる様に、●すべての●連続して行われる手順を●自動的に●長引かせます。●これにより、●アームが●同調して作動することを●確保します。\n\n手順の●最後に●期間の●オーパーライド命令を●置くことにより、●ソリューションの期間を●人為的に●長引かせます。●必需性は●ほとんど●ありませんが、●ソリューションが●早すぎる場合や●衝突などの問題を●引き起こした時に●役立ちます。,"Al iniciar el motor de transmutación, todas las secuencias de instrucciones se rellenan automáticamente para que tengan la misma duración que la secuencia de instrucciones más larga en la solución, lo que garantiza que todos los brazos se mantengan sincronizados.\n\nAl colocar una Instrucción Sobreescribir Período al final de una secuencia de instrucciones, la duracion de la solución se puede aumentar artificialmente. Esto rara vez es necesario, pero puede ser útil si una solución se repite demasiado rápido, causando colisiones u otros conflictos.","변성 기관이 작동하면, 모든 팔들을 동기화하기 위해서 모든 명령 시퀀스들은 자동적으로 가장 긴 명령 시퀀스와 똑같은 길이로 늘어납니다.\n\n시간 조절 명령을 명령 시퀀스 마지막에 배치하면, 풀이의 길이를 늘릴 수 있습니다. 보통은 필요없지만, 풀이가 너무 빠르게 반복되어 충돌이나 문제가 생겼을때 쓸만합니다.","Dönüşüm motorunu başlatırken, tüm talimat sekansları otomatik olarak doldurulur, böylece çözümdeki en uzun talimat sekansı ile aynı süreye sahip olurlar, bu da tüm kolların senkronize olmasını sağlar.\n\nBir sekans sonuna periyot geçersiz kılma talimatı yerleştirerek bir talimat dizisi, dolayısıyla çözümün süresi yapay olarak artırılabilir. Bu nadiren gereklidir, ancak bir çözüm çok hızlı bir şekilde tekrarlanıyorsa, çarpışmalara veya diğer çatışmalara neden oluyorsa kullanışlı olabilir.","В момент запуску трансмутаційного апарата всі послідовності команд автоматично підлаштовуються під період найдовшої послідовності команд у рішенні, це гарантує, що всі маніпулятори будуть синхронізовані.\n\nРозміщення команди перевизначення періоду у кінці послідовності штучно збільшить період. Це рідко коли необхідно, але інколи може бути корисним, якщо рішення повторюється занадто швидко, викликаючи зіткнення чи інші конфлікти.","Ao ligar o mecanismo de transmutação, todas as sequências de instruções são automaticamente preenchidas para que durem tanto quanto a maior sequência de instruções na solução, garantindo que todos os braços permaneçam sincronizados.\n\nAo colocar uma instrução de período sobreposto no final de uma sequência de instruções, o período da solução pode ser artificialmente aumentado. Isso raramente é necessário, mas pode ser útil caso uma solução esteja se repetindo muito rápido, causando colisões ou outros conflitos.","Jakmile spustíte transmutační stroj, všechny instrukce se automaticky srovnají tak, aby trvaly stejně dlouho jako nejdelší sekvence instrukcí v řešení, což zajistí synchronizaci všech manipulátorů.\n\nPo umístění časové instrukce na konec sekvence instrukcí se doba řešení nebude moci uměle prodlužovat. Obvykle je to zbytečné, ale může se to hodit, pokud se řešení opakuj příliš rychle a působí kolize nebo jiné konflikty.","Gdy silnik transmutacyjny jest uruchamiany, wszystkie sekwencje instruckcji są automatycznie dostosowywane, aby mieć tą samą długość, co najdłuższa, dzięki czemu wszystkie ramiona współgrają bez straty czasu.\n\nUmieszczenie instrukcji nadpisania okresu pozwala sztucznie wydłużyć sekwencję. Rzatko jest to niezbędne, ale przydaje się gdy rozwiązanie powtarza się zbyt szybko powodując kolizje lub inne konflikty."
Win 1 game,,Gewinne 1 Partie.,Gagner 1 partie,Выиграйте 1 игру,获胜1次,1試合に勝つ,Gana 1 partida,1회 완료하여,1 Oyun Kazan,Виграйте 1 раз,Ganhe 1 partida,Vyhrajte 1 hru,Wygraj 1 grę
Win 1 game of Sigmar's Garden to unlock,,Gewinne zum Freischalten 1 Partie Sigmars Garten.,Gagner 1 partie du Jardin de Sigmar pour débloquer,Сначала выиграйте 1 игру в «Сад Сигмара»,获胜1次西格玛的花园来解锁,シグマーの●庭園で●1試合に●勝利して●アンロック,Gana 1 partida del Jardín de Sigmar para desbloquear,시그마의 정원을 1회 완료하여 잠금해제,Kilidini açmak için 1 Sigmar'ın Bahçesi oyunu kazanın,"Щоб відкрити, виграйте в Сад Сігмара 1 раз",Ganhe 1 partida do Jardim de Sigmar para desbloquear,Vyhrajte 1 hru a odemknete Sigmarovu zahradu,"Wygraj 1 grę w Ogród Sigmara, aby odblokować"
Win 10 games,,Gewinne 10 Partien.,Gagner 10 parties,Выиграйте 10 игр,获胜10次,10試合に勝つ,Gana 10 partidas,10회 완료하여,10 oyun kazan,Виграйте 10 разів,Ganhe 10 partidas,Vyhrajte 10 her,Wygraj 10 gier
Win 100 games,,Gewinne 100 Partien.,Gagner 100 parties,Выиграйте 100 игр,获胜100次,100試合に勝つ,Gana 100 partidas,100회 완료하여,100 oyun kazan,Виграйте 100 разів,Ganhe 100 partidas,Vyhrajte 100 her,Wygraj 100 gier
Win 25 games,,Gewinne 25 Partien.,Gagner 25 parties,Выиграйте 25 игр,获胜25次,25試合に勝つ,Gana 25 partidas,25회 완료하여,25 oyun kazan,Виграйте 25 разів,Ganhe 25 partidas,Vyhrajte 25 her,Wygraj 25 gier
Win 50 games,,Gewinne 50 Partien.,Gagner 50 parties,Выиграйте 50 игр,获胜50次,50試合に勝つ,Gana 50 partidas,50회 완료하여,50 oyun kazan,Виграйте 50 разів,Ganhe 50 partidas,Vyhrajte 50 her,Wygraj 50 gier
Win 75 games,,Gewinne 75 Partien.,Gagner 75 parties,Выиграйте 75 игр,获胜75次,75試合に勝つ,Gana 75 partidas,75회 완료하여,75 oyun kazan,Виграйте 75 разів,Ganhe 75 partidas,Vyhrajte 75 her,Wygraj 75 gier
Wins,,Siege,Victoires,Победы,获胜,勝利数,Ganados,승리,Kazanma,Перемоги,Vitórias,Vítězství,Wygrane
You are not currently logged into Steam.,,Du bist momentan nicht bei Steam angemeldet.,Vous n'êtes pas connecté sur Steam.,Вы не вошли в Steam.,您目前还未登录Steam。,現在Steamに●ログインしていません。,Actualmente no estás conectado a Steam.,스팀에 로그인되어있지 않습니다.,Şu anda Steam'e giriş yapmadınız.,Ви не увійшли в Steam.,Você não está registrado no Steam.,Nejste přihlášeni do Steamu.,Obecnie nie jesteś zalogowany na Steamie.
"You can press the {0}, {1}, {2}, and {3} keys while dragging a part to change its initial rotation and length.",,"Du kannst die Tasten {0}, {1}, {2} und {3} drücken, während du ein Teil ziehst, um seine ursprüngliche Drehung und Länge zu ändern.","Vous pouvez appuyer sur les touches {0}, {1}, {2}, et {3} en déplaçant une pièce pour changer sa rotation initiale et sa taille.","Перетаскивая часть, вы можете нажимать клавиши {0}, {1}, {2} и {3}, чтобы изменить исходные длину и угол наклона этой части.",在拖动一个零件的同时，你可以按下{0}、{1}、{2}以及{3}键来改变它的初始旋转角度和长度。,{0}、{1}、{2}、{3}キーを●押しながら●部品を●ドラッグすると●、最初の●回転と●長さが●変わります。,"Puedes presionar las teclas {0}, {1}, {2} y {3} mientras arrastras una parte para cambiar su rotación y largo iniciales.","부품을 움직이고 있을 때, {0}, {1}, {2}, {3} (으)로 초기 방향과 길이를 조절할 수 있습니다.","Bir parçayı sürüklerken ilk dönüşünü ve uzunluğunu değiştirmek için {0}, {1}, {2} ve {3} tuşlarına basabilirsiniz.","Ви можете натискати клавіші {0}, {1}, {2}, та {3} при перетягуванні частини, щоб змінити її початковий поворот та довжину.","Você pode apertar as teclas {0}, {1}, {2}, e {3} enquanto arrasta uma peça para mudar sua orientação e comprimento originais.","Při tažení součástek můžete stisknout klávesy {0}, {1}, {2} a {3} pro změnu jejich rotace a délky.","Możesz użyć klawiszy {0}, {1}, {2} i {3} podczas przeciągania części, aby zmienić ich rotację i długość."
You have insufficient privileges to upload this item.,,"Dir fehlt die benötigte Berechtigung, um dieses Objekt hochzuladen.",Vous n'avez pas encore le droit de partager cet objet.,У вас недостаточно прав для отправки этого объекта.,您没有足够的权限上传此项目。,このアイテムを●アップロードする●権限が●ありません。,No tienes permisos suficientes para subir este ítem.,이 퍼즐을 업로드할 권한이 없습니다.,Bu öğeyi yüklemek için yeterli ayrıcalığınız yok.,У вас недостатньо прав для вивантаження цього об'єкта.,Você não possui privilégios o suficiente para enviar este item.,Pro změnu této položky nemáte dostatečné pravomoci.,"Nie masz wystarczających uprawnień, aby przesłać ten przedmiot."
Young Taros Colvan,,Der Junge Taros Colvan,Jeune Taros Colvan,Юный Тарос Колвен,年轻的塔洛斯·科尔文,若い●タロス・コルヴァン,Joven Taros Colvan,타로스 콜반,Genç Taros Colvan,Молодий Тарос Колван,Jovem Taros Colvan,Mladý Taros Colvan,Młody Taros Colvan
"Your goal is to clear the board.\n\nSelect a free marble, and then pick a matching marble to remove them both from the board.",,"Dein Ziel ist es, die Tafel zu räumen.\n\nWähle eine freie Murmel und wähle dann eine passende Murmel, um beide von der Tafel zu entfernen.","Votre objectif est de vider le plateau.\n\nSélectionnez une bille libre, puis effectuez une association avec une autre bille pour les retirer du plateau.","Цель игры заключается в том, чтобы очистить поле.\n\nВыберите свободный шарик, а затем еще один шарик, парный к первому, чтобы удалить эти два шарика с поля.",你的目标是清空棋盘。\n\n选择一颗可动的弹珠，然后挑选一颗匹配的弹珠来将它们两者移出棋盘。,ボードを●クリアするのが●目的だ。\n\n自由な●ビー玉を●選択して、●マッチする●ビー玉を●選び、●両方を●ボードから●削除しよう。,"Tu objetivo es despejar el tablero.\n\nSelecciona una canica libre, y luego escoje una canica para combinarla y eliminarlas del tablero.",당신의 목표는 판 위의 구슬을 전부 지우는 것입니다.\n\n자유로운 구슬을 선택하고 일치하는 구슬을 고르면 판 위에서 지워집니다.,Amacınız tahtayı temizlemek.\n\nBoş bir misket seçin ve ardından her ikisini de tahtadan kaldırmak için uygun bir misket seçin.,"Мета гри — очистити всю дошку від кульок.\n\nОберіть вільну кульку, потім виберіть іншу, відповідну до неї, щоб видалити їх з дошки.","Seu objetivo é limpar o tabuleiro.\n\nSelecione uma pedra livre, e então escolha uma pedra equivalente para remover ambas do tabuleiro.","Vašim úkolem je vyprázdnit stůl.\n\nVyberte volnou kuličku a pak vyberte shodnou kuličku, abyste obě odstranili ze stolu.","Twoim celem jest opróżnienie planszy.\n\nWybierz wolną kulkę, a następnie połącz ją z inną wolną kulką, aby usunąć obie z planszy."
Your job as an alchemist is to build machines that combine reagents into useful products.,,"Deine Aufgabe als Alchemist ist es, Maschinen zu konstruieren, die Reagenzien kombinieren, um nützliche Erzeugnisse zu produzieren.",Votre travail comme alchimiste est de contruire des machines combinant des réactifs pour en faire des produits utiles.,"Ваша работа, работа алхимика, заключается в том, чтобы создавать машины, позволяющие превратить реагенты в полезные продукты.",作为一名炼金术士，你的主要工作是：制造可将试剂结合成有用产品的机器。,錬金術師としての●仕事は●試薬を●結合させて●便利な●生成物を●作成する●機械を●作ることです。,Tu trabajo como alquimista es construir máquinas que combinen reactivos en productos útiles.,연금술사로서 반응물을 조합해 쓸만한 생성물을 만드는 기계를 제작하는 것이 당신의 일입니다.,"Bir simyacı olarak işiniz, reaktifleri faydalı ürünlere birleştiren makineler oluşturmaktır.","Ви, як алхімік, повинні будувати машини, що роблять корисні продукти із наданих реагентів.",Seu trabalho como alquimista é construir máquinas que combinam reagentes para gerar produtos úteis.,"Vaší prací - prací alchymisty - je stavět stroje, které spojí reagenty do užitečných produktů.",Twoim celem jako alchemik jest budowanie maszyn zamieniających reagenty w użyteczne produkty.
